COM,part_cadres_20,part_cadres_14,part_diplome_20,part_diplome_14,P20_POP,P14_POP,delta_elec,delta_score,score_2014,score_2020,croissance_pop,delta_pct_diplome,delta_pct_cadres,log_med_13
11203,0.025746436808736558,0.027548258588018133,0.1382886939401279,0.12410689616801207,11112.0,11247.999999999996,-1.0,-6.119999999999997,56.25,50.13,-0.012164729616266357,0.01418179777211584,-0.0018018217792815754,9.707837565530841
11262,0.04823745315832224,0.04685026727975832,0.21203153651525863,0.19492492224137273,56123.00000000001,52855.0,0.0,-1.6300000000000026,45.2,43.57,0.05999339546298543,0.017106614273885906,0.0013871858785639152,9.755277525370941
11272,0.07017919157041626,0.07112068965517242,0.28772466664784857,0.24568965517241378,2496.0,2233.0,-1.0,-12.810000000000002,66.53,53.72,0.11134347764916086,0.042035011475434786,-0.0009414980847561594,9.995313408257843
12145,0.0436858225411003,0.04156824584818156,0.22084980493765546,0.1811648655065591,21482.000000000004,22064.0,1.0,7.93,36.61,44.54,-0.02673194587509009,0.039684939431096355,0.0021175766929187392,9.829796160267625
12202,0.07053161902020003,0.06814564151859585,0.2753748996224787,0.24246152678396543,24397.000000000007,24088.0,-1.0,6.670000000000002,48.5,55.17,0.012746382740980167,0.032913372838513255,0.0023859775016041723,9.89793885360571
12208,0.04350591686362336,0.039347834871710674,0.18587314274662992,0.16175939104930404,8018.00000000001,8259.999999999987,-1.0,-3.710000000000001,49.63,45.92,-0.029735573312569485,0.02411375169732588,0.004158081991912685,9.858193768898365
13001,0.14227511293344342,0.12825508999938814,0.35686890110113123,0.3177577899054345,147122.00000000003,142149.0,0.0,-9.079999999999998,52.61,43.53,0.03438637129852218,0.03911111119569671,0.01402002293405527,10.005713159498468
13002,0.10311761969902176,0.10189556477688251,0.30353562937468354,0.2733988990351829,21546.0,21480.999999999996,-1.0,4.600000000000001,55.07,59.67,0.003021360980159926,0.03013673033950065,0.001222054922139254,10.104918828248994
13004,0.048988759864211445,0.04500907207793574,0.20912422521127158,0.17609513157759038,50968.0,52697.0,-1.0,11.089999999999996,46.13,57.22,-0.03336054311657932,0.0330290936336812,0.003979687786275707,9.76793507126817
13005,0.06248071258865902,0.059949211648620354,0.22239908037458267,0.19288718773121802,47190.00000000001,45127.99999999998,0.0,0.5399999999999991,47.49,48.03,0.044679109300622244,0.02951189264336465,0.002531500940038664,9.881684926575286
13028,0.07093579285572914,0.0689514972702703,0.25198136029474005,0.21580754694198753,36441.00000000001,35631.0,0.0,-6.810000000000002,53.0,46.19,0.022478468926030004,0.03617381335275252,0.0019842955854588312,9.901819495435433
13041,0.06461994167387909,0.0673132186665312,0.2149718330094237,0.19335038174191038,21501.00000000001,19909.999999999996,0.0,-3.960000000000001,39.7,35.74,0.0768773276037873,0.02162145126751333,-0.0026932769926521077,9.911989767591855
13046,0.10649845604885166,0.09571038928837095,0.28869952444344527,0.23530870319861147,4281.0,4033.0,-1.0,-0.5300000000000011,53.26,52.73,0.059676111271578236,0.0533908212448338,0.010788066760480719,10.049318000747668
13050,0.10381313635456178,0.10332662176657806,0.3171291674985027,0.2857346367755039,10018.0,9459.000000000002,0.0,11.75,44.9,56.65,0.057416805704392004,0.03139453072299875,0.0004865145879837246,10.02040107447253
13082,0.11844432574506435,0.132285223032734,0.34589927586615055,0.2942069514878282,4616.0,4776.999999999984,0.0,-11.259999999999998,47.62,36.36,-0.0342842052020238,0.05169232437832233,-0.013840897287669643,10.119915269701607
13098,0.08897582014836525,0.08724627760104477,0.2568505473933742,0.23678463399392466,5818.0,5841.000000000002,0.0,11.369999999999997,43.0,54.37,-0.0039454549851623,0.020065913399449548,0.0017295425473204812,10.083105457755767
13100,0.07782339481600546,0.06089807927966262,0.28313736160101133,0.19332662466153536,9692.000000000013,9764.999999999996,0.0,-0.13000000000000256,50.18,50.05,-0.007503761374360707,0.08981073693947597,0.01692531553634284,9.854376086754861
13108,0.03213870179913633,0.03153916027547039,0.13443196753137995,0.14437804759550407,15508.0,14583.000000000002,0.0,-4.6200000000000045,52.74,48.12,0.06149955307725463,-0.009946080064124119,0.000599541523665939,9.681474314557999
13110,0.09741675845454659,0.08970620765154184,0.2607285356665126,0.24302653946649547,10507.0,10895.999999999996,0.0,-1.7800000000000011,48.89,47.11,-0.036354047700516645,0.01770199620001714,0.007710550803004743,9.978826909081944
14117,0.03693791377496554,0.010780133321399387,0.16580965014993135,0.12601025721914683,3511.0,3673.0000000000055,0.0,13.599999999999994,45.09,58.69,-0.04510786965123614,0.03979939293078452,0.026157780453566152,9.844533409692458
14221,0.0472827306020999,0.04395603350625312,0.16323852052386614,0.14930841447042711,3063.0,3245.0,-1.0,4.490000000000002,43.0,47.49,-0.057720522305416466,0.013930106053439029,0.0033266970958467784,9.944187939662504
14341,0.052001900472199214,0.052591554479500244,0.19419598553695439,0.16349623940139626,11901.999999999996,11525.0,0.0,24.339999999999996,35.53,59.87,0.03218786433994758,0.03069974613555812,-0.0005896540073010298,9.88448310660843
14366,0.03304500340066225,0.03282544031010915,0.14587668116739233,0.11926066973411671,19754.999999999996,20880.999999999996,0.0,3.9000000000000057,40.12,44.02,-0.05543303072457029,0.02661601143327562,0.00021956309055309875,9.711842668281289
14536,0.06860054880439044,0.0737704918032787,0.21050568404547237,0.18565573770491806,2551.0,2371.0,0.0,16.709999999999994,43.95,60.66,0.07317363207640515,0.02484994634055432,-0.005169942998888261,9.936922328622366
14715,0.031429701523452445,0.029678595540427195,0.18277714076113877,0.14886344924434158,4602.99999999999,4708.000000000011,0.0,-1.3999999999999986,51.93,50.53,-0.022554924562930623,0.033913691516797184,0.0017511059830252508,9.841984419942078
16102,0.0606492088956266,0.0539479755854954,0.2149447581126167,0.18664984253748276,18606.0,18716.999999999996,-1.0,-8.309999999999995,49.76,41.45,-0.005948092450392295,0.028294915575133944,0.006701233310131199,9.849119360052637
16271,0.09912910199414693,0.10676938005680282,0.3416246394497036,0.286393160622954,2382.0,2403.000000000006,0.0,0.3500000000000014,52.66,53.01,-0.008777485821226172,0.055231478826749614,-0.007640278062655895,10.128477018149379
17010,0.08223609091464312,0.06157894736842105,0.2693068622997467,0.22710526315789473,4063.0,3800.0,-1.0,10.270000000000003,48.26,58.53,0.06692055027324884,0.04220159914185198,0.02065714354622207,10.050163158513795
17028,0.08810810434031148,0.07066247496092447,0.2983366773709775,0.2319196962808254,9397.000000000013,8821.000000000004,-1.0,-2.75,40.79,38.04,0.06325524712429953,0.06641698109015212,0.017445629379387012,9.92435170771544
17218,0.03532371548536746,0.03328274809436941,0.1609211698021013,0.13846459862548202,4512.0,4589.999999999992,1.0,-7.479999999999997,44.98,37.5,-0.017139509876693992,0.022456571176619283,0.002040967390998051,9.855091060867505
17230,0.0431612143780396,0.02622580635444681,0.18228233366282975,0.15244222370678548,3131.0,3044.0,-1.0,-10.260000000000005,46.13,35.87,0.02818000234482909,0.029840109956044275,0.016935408023592793,9.934016757570951
17299,0.05189860135269801,0.04538137056667945,0.18429969289348797,0.161737266838864,23410.000000000004,24299.999999999993,0.0,15.780000000000001,43.08,58.86,-0.03731306884368202,0.02256242605462397,0.006517230786018562,9.785323194185485
17300,0.08033725064975861,0.07032811218111096,0.26885986945691887,0.22423984617631348,77210.0,74998.0,0.0,-1.7100000000000009,43.68,41.97,0.029067535806643008,0.04462002328060538,0.01000913846864765,9.860266850081565
17306,0.03808081017063866,0.03684956171302606,0.22751878921177868,0.17518314707075558,18637.999999999975,18388.0,0.0,0.480000000000004,51.73,52.21,0.01350422941948004,0.0523356421410231,0.0012312484576126048,9.90605568064184
17415,0.06159194603625663,0.05518817973598172,0.23249443826961916,0.19470022569422246,25412.000000000007,25149.000000000004,0.0,-23.959999999999997,55.73,31.77,0.010403369080457026,0.037794212575396696,0.006403766300274914,9.851873840687665
17420,0.0795401734029475,0.04880429477794046,0.288155941104577,0.21815519765739386,2324.0,2049.0,0.0,11.649999999999999,40.38,52.03,0.1259379697329015,0.07000074344718313,0.03073587862500704,10.043481352088303
17452,0.025443667020378872,0.029575301231558014,0.14850701604647065,0.11489347596224232,4326.0,4792.0,0.0,3.740000000000002,46.87,50.61,-0.10230453328228073,0.03361354008422833,-0.004131634211179142,9.874470603465635
18033,0.07461030533906866,0.07028346631382562,0.23781917358997542,0.19997015293784243,64362.000000000015,66528.0,1.0,1.3100000000000023,53.64,54.95,-0.03309951483225504,0.037849020652133,0.004326839025243043,9.86817120740856
18207,0.035563298870717665,0.028950266990646886,0.13663439082987888,0.12129952206608498,6432.0,6616.000000000011,-1.0,13.89,40.9,54.79,-0.028205425844726406,0.015334868763793905,0.0066130318800707785,9.861524033708971
19246,0.0538334033155624,0.027988338192419828,0.19643950599775092,0.1644314868804669,1883.0,1757.0,0.0,4.159999999999997,51.06,55.22,0.06925844047005558,0.032008019117284014,0.02584506512314257,9.946323517655438
19275,0.03710980135341629,0.03295594006995932,0.16601178781925344,0.15370138313118648,9162.0,9771.999999999996,0.0,-5.640000000000001,60.9,55.26,-0.06445665793094335,0.012310404688066962,0.004153861283456968,9.838202085837498
21038,0.020892226301483595,0.019039278833575184,0.10252200772693701,0.09146636553443462,7621.0,7835.000000000003,0.0,7.18,53.43,60.61,-0.027693281124003377,0.011055642192502393,0.0018529474679084106,9.820757904937132
21231,0.09959556371580999,0.09681882991284992,0.27301962038431016,0.24753404123655234,159105.99999999997,153668.0,0.0,-9.32,52.84,43.52,0.034776215682908784,0.025485579147757814,0.002776733802960077,9.931718612876956
21263,0.09972893593480814,0.0718954248366013,0.2614645142196055,0.22156862745098038,1673.0,1530.0,-1.0,-9.339999999999996,53.8,44.46,0.0893506866003424,0.0398958867686251,0.027833511098206837,10.122864017281094
21485,0.060519056054251674,0.04798470494598416,0.1960585890653002,0.16457241338848916,2535.0,2706.0,0.0,0.3500000000000014,56.05,56.4,-0.06527789270545004,0.03148617567681103,0.012534351108267512,9.926622622938156
22054,0.0406461119031619,0.03084040092521203,0.21406420445115168,0.16653816499614496,3916.0,3891.0,0.0,4.289999999999999,54.44,58.73,0.006404530665847119,0.04752603945500672,0.009805710977949869,9.984214641352072
22168,0.06899579520560051,0.07397706717194305,0.30148947481678406,0.266409278977715,7149.0,7279.999999999993,0.0,5.909999999999997,39.59,45.5,-0.018158375423878326,0.03508019583906907,-0.004981271966342543,10.019090435608215
