COM,P14_POP,C14_POP15P_CS3,P14_NSCOL15P_SUP,MED13,P20_POP,C20_POP15P_CS3,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,MED19
94069,14873.999999999996,2862.257404797652,5354.042668856047,25411.0,14560.0,2737.084303331435,1297.1292466804189,1568.160412767911,2668.001535651527,27460
94070,3644.0,456.47933206714026,993.127181240898,29798.0,3994.0,383.001510870629,446.79758131558,390.712316628661,458.480317413873,29480
94071,25853.000000000004,3296.761088221072,6965.091997100432,25086.6666666667,27040.00000000001,3495.811187464774,2501.748110300256,2471.4410175380494,3175.498161244051,26500
94073,28811.999999999996,2862.6705008579656,6881.628747055508,22235.2380952381,30788.0,3586.020474944286,2897.3347832916515,2513.898276680021,3113.03781141529,23510
94074,13346.000000000002,339.26616994327145,1458.8983107872173,16025.1724137931,14538.000000000011,621.8314186564503,733.1953068621758,686.3436193318711,656.0157502856804,17200
94075,9641.0,1011.0,2027.0,25951.3333333333,11846.0,1251.501465134714,1172.5033650782839,929.838670999423,805.296317925208,26290
94076,57781.0,5901.983329757043,13108.130576743357,19174.7826086957,56349.00000000001,6560.719990359516,3823.162299505829,4349.785125075188,7057.4254673480345,20590
94077,19869.999999999993,1108.05801249934,2823.557159844924,20262.264957265,21410.999999999978,1454.274038708198,1498.442324710657,1292.161289802123,1272.9780853874922,21220
94078,32976.0,1066.2405044039845,4059.326635870871,15396.9230769231,34844.99999999999,1176.1171018726652,1833.4536702129094,1577.901026005304,1461.12130685071,16250
94079,28278.000000000004,3172.54862725876,6325.489045448736,20967.5714285714,29672.0,3707.92538709784,2551.4836488431038,2493.2038408872722,3286.01848985649,22780
94080,49135.99999999999,13311.114454519851,22093.54397266857,30584.0,49697.0,14762.701324770876,3483.95732004034,5997.303390827385,15071.385395869982,33350
94081,91188.0,6269.7799957953,16437.39328845923,17829.5652173913,95649.0,7191.138388763301,5895.866667552137,6129.940780136428,7881.141545219107,18880
95002,1071.0,117.43421052631577,266.8105263157894,27017.0,1105.0,170.0,125.0,89.0,88.0,28270
95008,925.0,70.0,184.0,23970.0,879.0,53.889137038457,72.7380351173818,70.4854682215455,42.5920407221999,25370
95011,397.9999999999982,15.63319819191441,72.9549248956003,22990.9523809524,394.0,35.0,40.0,30.0,36.0,26620
95012,210.0,9.85915492957746,32.53521126760562,22475.5555555556,206.0,14.8557692307692,15.8461538461538,12.875,12.875,23700
95014,2539.0,386.2196392028338,763.0993639633232,27679.1304347826,2703.0,332.07099077647,249.675384199987,250.936204984684,308.212957502038,29710
95018,108865.0,6994.274385279767,17949.482743572917,17555.3333333333,108566.99999999997,8871.904912612426,7660.862835777679,6761.581897351105,7943.5500355741615,18430
95019,14296.999999999995,771.4599752684859,1933.891496076681,18970.0,14364.0,697.3249335069529,943.468834365413,725.9725081686076,591.0425922333102,19510
95023,666.0,64.0,161.0,27547.0,630.0,49.8784364144432,74.7367151807215,55.6338576977547,41.6846427707877,30080
95024,284.0,20.0,58.0,24551.0,271.0,25.5149937442529,36.3216585860804,22.204714460139,8.95886485919697,25760
95026,2620.0,334.63561232156246,605.2967693463562,25869.6153846154,3083.0,400.0,329.0,295.0,198.0,27300
95028,1788.0,176.61274393016194,347.3988536067059,25788.6956521739,1695.0,165.684023148527,192.877821154937,133.537860575961,73.6187479847243,28310
95039,6943.0,913.0,1811.0,25812.0,6792.0,837.403542857397,750.742174862865,624.862334133567,636.801064772468,27600
95040,793.0,91.5485697151686,268.6915383641714,28424.3333333333,860.0,75.0,110.0,72.0,96.0,28960
95042,2031.0,263.0,481.0,27421.8,1893.0,238.385119973583,234.329282303567,191.545221722277,144.429404800207,29350
95046,145.0,20.0,32.0,25263.8888888889,149.0,20.1351351351351,14.0945945945946,8.05405405405405,8.05405405405405,28130
95051,8733.00000000001,999.953365215929,2003.5006786889803,26250.4761904762,8899.999999999996,1257.232119751213,935.611378394283,711.1723157529233,709.2451590881038,27440
95052,9663.000000000004,502.42532407460834,1530.085714193097,19679.6,9572.0,642.8858663042286,774.216216880134,580.779583616409,422.6751189202941,21110
95054,246.0,25.0,62.0,26428.3333333333,214.0,30.2830188679245,30.2830188679245,14.1320754716981,12.1132075471698,28140
95055,466.0,58.83955599411036,101.69395637815316,25827.5,473.0,30.0,44.0,33.0,23.0,26010
95056,2162.0,160.89461973160212,425.8007471337635,25236.6666666667,2217.0,121.789309067982,253.734691125786,142.027587488643,95.6341811238875,26870
95058,2654.9999999999905,149.21815554377645,281.11908801230453,21577.5,2743.0,136.454618602121,197.236025482993,138.011580973314,61.6691655967036,22940
95059,341.9999999999987,32.283185840708,96.84955752212352,26613.6,362.0,46.4815542040324,40.2097441692059,26.6347529266794,29.9503345795137,27360
95060,6582.0,704.3283853689272,1331.6260959337749,24086.0869565217,7876.0,906.4702470957267,766.981791038866,610.1466924571522,496.18270926019477,25710
95061,434.9999999999983,81.1188811188812,130.8041958041953,28836.0,409.0,62.8422172598131,65.1712922489286,41.6375344699653,42.2399538130153,31820
95063,28431.0,1965.6040376041615,4452.224354840322,18504.1153846154,31866.000000000022,2898.1032691729342,2233.934834777765,1896.903615279466,2799.9139022092368,20000
95074,771.0,105.27308192457735,249.64759427828344,30014.5,855.0,155.0,102.0,86.0,116.0,32030
95078,1817.0,246.55036045124885,531.3411849724862,27440.8,1934.0,217.633582157994,237.524809550609,184.420756639792,214.036259547338,27970
95088,930.0,31.46597474346746,158.22890156715064,20643.8095238095,1158.0,60.0,76.0,66.0,40.0,21110
95091,6177.0,587.0,1486.0,23509.3333333333,6596.000000000009,678.381288228442,715.283776887979,538.466557023287,486.501161449719,25180
95094,319.0,15.0,42.0,21144.7619047619,303.0,15.0725338629069,23.08790548556,16.0715051884595,13.0716210665704,23560
95101,974.9999999999992,57.0068891902244,111.9778180522265,21582.6666666667,966.0,10.0145673206968,65.3553494119914,33.182984166083,18.0631188744396,23440
95102,371.0,44.40159574468083,107.55053191489355,29198.4,420.0,50.0,56.0,29.0,37.0,31700
95110,196.0,23.75757575757576,51.47474747474748,27109.6,221.0,31.5714285714286,26.3095238095238,21.047619047619,27.3619047619048,28120
95116,4157.0,210.9184614352476,583.7045793208015,20833.6666666667,4367.0,190.0,321.0,229.0,131.0,22420
95119,320.0,14.90683229813664,56.64596273291923,23265.3888888889,320.0,20.0,35.0,20.0,9.0,24440
95120,2250.0,312.91295895880273,577.1505687462361,25728.3333333333,2266.0,190.074824883066,219.691863346559,230.624899393241,208.173351394646,27260
95127,62979.00000000001,5991.956878385114,14279.684766674438,18411.3043478261,67789.99999999997,6472.30561630838,4843.182872584548,5082.005577304076,6251.099368059735,19590
95134,4821.0,335.5239610260489,1034.3724398488764,23976.6666666667,5019.0,469.683877076903,480.687058827066,402.742852147151,354.753565987318,25630
95139,331.0,15.0,61.0,24114.0,322.0,15.2592008782175,34.6866988599591,25.4746127779545,13.1843758250576,25840
95141,27.0,4.0,5.0,NA,36.0,0.0,5.0,0.0,1.0,s
95142,2081.0,155.0,346.0,22565.3571428571,2042.0,149.979715956685,191.856330119421,127.87842105273,94.6639968269413,24720
95144,74.0,35.52,32.56,NA,77.0,5.06578947368421,5.06578947368421,4.05263157894737,23.3026315789474,s
95149,3324.0,307.0,651.0,25983.4615384615,3230.0,374.469822340763,322.240940100617,254.336066995462,214.269609532354,27750
95150,607.9999999999991,30.86294416243656,141.9695431472079,23214.347826087,599.0,67.0235247336675,42.1627097563512,45.2063968472008,58.0201833661181,24850
95151,308.0000000000005,40.2614379084967,74.48366013071907,27257.9166666667,297.0,24.4119179313063,29.8513120471663,29.8935885662903,26.1556438597871,28840
95154,317.0,19.7507788161994,43.45171339563864,22412.6086956522,308.0,30.5975964118099,25.3629718062682,15.3639938729615,8.11590545164545,22940
95157,161.0,19.86730901569045,44.70144528530349,24170.0,121.0,14.2371044216003,10.4915635273718,10.5425838122368,13.2879641268269,28990
95166,422.0,55.0,90.0,25583.3333333333,473.0,61.2200013840623,47.9028443461092,39.6824771085626,31.6209788479444,27100
95169,429.999999999999,39.69230769230769,97.0256410256408,25945.7142857143,511.0,52.7783604026971,40.3659808315702,49.8867598029694,34.4862151143638,26460
95170,586.0,74.28169014084504,135.15140845070417,24744.0,544.0,69.7358785446277,58.026935954397,28.9826440511464,44.3648325757009,26130
95176,23818.0,3339.7958889984034,6205.753207667673,25726.5217391304,26073.99999999999,3920.0848604719013,2742.701425342968,2301.020510269915,2964.543478935947,27370
95177,1291.0,114.70013105286624,269.54530797423536,23304.4444444444,1298.0,105.0,149.0,78.0,74.0,26270
95181,291.0,56.75531914893621,90.80851063829776,28756.9565217391,298.0,65.0,39.0,19.0,41.0,27950
95183,6637.000000000022,951.8132878526046,1854.3161995213748,24369.9603174603,6720.0,992.370083265182,705.177013492142,622.485908298753,726.682257828338,26080
95197,21963.000000000004,2859.335551072202,5971.487445753872,22651.25,22049.999999999993,3042.306968118141,2026.160719668024,2131.270780680002,2817.340082580085,24030
95199,15240.000000000004,1367.8584757370734,3070.140978416198,23362.0,15684.99999999998,1437.905634567591,1400.301987985341,1284.810535264824,1146.695750091432,24600
95203,24393.000000000004,3035.9754418445345,6413.020133641026,24483.0,25498.0,3787.8692321651843,2453.7223045583,2292.788523345437,3479.3158062769658,25690
95205,7229.999999999992,691.1963143015796,1433.3042562003236,22964.8,7099.0,661.00364861394,666.5592701592681,491.27612550981894,471.48864279545296,24630
95210,11187.999999999996,2017.4589801347229,4043.7901874535305,28198.0,11416.0,2260.593921936506,971.40608137309,1332.174933384854,2517.75445994332,30020
